,0
29,"
	                          ISBN-10: 0691156573
	                          ISBN-13: 9780691156576
	                          Publisher: Princeton University Press 
							                          Publish Date: 01/22/2013 
							                          Dimensions: 7.41"" L, 4.80"" W, 0.65"" H	                    "
30,"
	                          ISBN-10: 0691156573
	                          ISBN-13: 9780691156576
	                          Publisher: Princeton University Press 
							                          Publish Date: 01/22/2013 
							                          Dimensions: 7.41"" L, 4.80"" W, 0.65"" H	                    "
31,"
	                          ISBN-10: 0691156573
	                          ISBN-13: 9780691156576
	                          Publisher: Princeton University Press 
							                          Publish Date: 01/22/2013 
							                          Dimensions: 7.41"" L, 4.80"" W, 0.65"" H	                    "
32,"
	                          ISBN-10: 0691156573
	                          ISBN-13: 9780691156576
	                          Publisher: Princeton University Press 
							                          Publish Date: 01/22/2013 
							                          Dimensions: 7.41"" L, 4.80"" W, 0.65"" H	                    "
33,"
	                          ISBN-10: 0691156573
	                          ISBN-13: 9780691156576
	                          Publisher: Princeton University Press 
							                          Publish Date: 01/22/2013 
							                          Dimensions: 7.41"" L, 4.80"" W, 0.65"" H	                    "
34,"
	                          ISBN-10: 0691156573
	                          ISBN-13: 9780691156576
	                          Publisher: Princeton University Press 
							                          Publish Date: 01/22/2013 
							                          Dimensions: 7.41"" L, 4.80"" W, 0.65"" H	                    "
35,"
	                          ISBN-10: 0691156573
	                          ISBN-13: 9780691156576
	                          Publisher: Princeton University Press 
							                          Publish Date: 01/22/2013 
							                          Dimensions: 7.41"" L, 4.80"" W, 0.65"" H	                    "
36,"
	                          ISBN-10: 0691156573
	                          ISBN-13: 9780691156576
	                          Publisher: Princeton University Press 
							                          Publish Date: 01/22/2013 
							                          Dimensions: 7.41"" L, 4.80"" W, 0.65"" H	                    "
37,"
	                          ISBN-10: 0691156573
	                          ISBN-13: 9780691156576
	                          Publisher: Princeton University Press 
							                          Publish Date: 01/22/2013 
							                          Dimensions: 7.41"" L, 4.80"" W, 0.65"" H	                    "
38,"
	                          ISBN-10: 0691156573
	                          ISBN-13: 9780691156576
	                          Publisher: Princeton University Press 
							                          Publish Date: 01/22/2013 
							                          Dimensions: 7.41"" L, 4.80"" W, 0.65"" H	                    "
39,"
	                          ISBN-10: 0691156573
	                          ISBN-13: 9780691156576
	                          Publisher: Princeton University Press 
							                          Publish Date: 01/22/2013 
							                          Dimensions: 7.41"" L, 4.80"" W, 0.65"" H	                    "
40,"
	                          ISBN-10: 0942299175
	                          ISBN-13: 9780942299175
	                          Publisher: Zone Books 
							                          Publish Date: 10/17/1990 
							                          Dimensions: 8.90"" L, 6.00"" W, 0.90"" H	                    "
41,"
	                          ISBN-10: 0942299175
	                          ISBN-13: 9780942299175
	                          Publisher: Zone Books 
							                          Publish Date: 10/17/1990 
							                          Dimensions: 8.90"" L, 6.00"" W, 0.90"" H	                    "
42,"
	                          ISBN-10: 0942299175
	                          ISBN-13: 9780942299175
	                          Publisher: Zone Books 
							                          Publish Date: 10/17/1990 
							                          Dimensions: 8.90"" L, 6.00"" W, 0.90"" H	                    "
43,"
	                          ISBN-10: 0942299175
	                          ISBN-13: 9780942299175
	                          Publisher: Zone Books 
							                          Publish Date: 10/17/1990 
							                          Dimensions: 8.90"" L, 6.00"" W, 0.90"" H	                    "
44,"
	                          ISBN-10: 0942299175
	                          ISBN-13: 9780942299175
	                          Publisher: Zone Books 
							                          Publish Date: 10/17/1990 
							                          Dimensions: 8.90"" L, 6.00"" W, 0.90"" H	                    "
45,"
	                          ISBN-10: 0942299175
	                          ISBN-13: 9780942299175
	                          Publisher: Zone Books 
							                          Publish Date: 10/17/1990 
							                          Dimensions: 8.90"" L, 6.00"" W, 0.90"" H	                    "
46,"
	                          ISBN-10: 0942299175
	                          ISBN-13: 9780942299175
	                          Publisher: Zone Books 
							                          Publish Date: 10/17/1990 
							                          Dimensions: 8.90"" L, 6.00"" W, 0.90"" H	                    "
47,"
	                          ISBN-10: 0942299175
	                          ISBN-13: 9780942299175
	                          Publisher: Zone Books 
							                          Publish Date: 10/17/1990 
							                          Dimensions: 8.90"" L, 6.00"" W, 0.90"" H	                    "
48,"
	                          ISBN-10: 0942299175
	                          ISBN-13: 9780942299175
	                          Publisher: Zone Books 
							                          Publish Date: 10/17/1990 
							                          Dimensions: 8.90"" L, 6.00"" W, 0.90"" H	                    "
49,"
	                          ISBN-10: 0942299175
	                          ISBN-13: 9780942299175
	                          Publisher: Zone Books 
							                          Publish Date: 10/17/1990 
							                          Dimensions: 8.90"" L, 6.00"" W, 0.90"" H	                    "
50,"
	                          ISBN-10: 0942299175
	                          ISBN-13: 9780942299175
	                          Publisher: Zone Books 
							                          Publish Date: 10/17/1990 
							                          Dimensions: 8.90"" L, 6.00"" W, 0.90"" H	                    "
51,"
	                          ISBN-10: 0942299175
	                          ISBN-13: 9780942299175
	                          Publisher: Zone Books 
							                          Publish Date: 10/17/1990 
							                          Dimensions: 8.90"" L, 6.00"" W, 0.90"" H	                    "
52,"
	                          ISBN-10: 0942299175
	                          ISBN-13: 9780942299175
	                          Publisher: Zone Books 
							                          Publish Date: 10/17/1990 
							                          Dimensions: 8.90"" L, 6.00"" W, 0.90"" H	                    "
53,"
	                          ISBN-10: 0942299175
	                          ISBN-13: 9780942299175
	                          Publisher: Zone Books 
							                          Publish Date: 10/17/1990 
							                          Dimensions: 8.90"" L, 6.00"" W, 0.90"" H	                    "
54,"
	                          ISBN-10: 0942299175
	                          ISBN-13: 9780942299175
	                          Publisher: Zone Books 
							                          Publish Date: 10/17/1990 
							                          Dimensions: 8.90"" L, 6.00"" W, 0.90"" H	                    "
55,"
	                          ISBN-10: 0942299175
	                          ISBN-13: 9780942299175
	                          Publisher: Zone Books 
							                          Publish Date: 10/17/1990 
							                          Dimensions: 8.90"" L, 6.00"" W, 0.90"" H	                    "
56,"
	                          ISBN-10: 0942299175
	                          ISBN-13: 9780942299175
	                          Publisher: Zone Books 
							                          Publish Date: 10/17/1990 
							                          Dimensions: 8.90"" L, 6.00"" W, 0.90"" H	                    "
57,"
	                          ISBN-10: 0942299175
	                          ISBN-13: 9780942299175
	                          Publisher: Zone Books 
							                          Publish Date: 10/17/1990 
							                          Dimensions: 8.90"" L, 6.00"" W, 0.90"" H	                    "
58,"
	                          ISBN-10: 0942299175
	                          ISBN-13: 9780942299175
	                          Publisher: Zone Books 
							                          Publish Date: 10/17/1990 
							                          Dimensions: 8.90"" L, 6.00"" W, 0.90"" H	                    "
59,"
	                          ISBN-10: 0942299175
	                          ISBN-13: 9780942299175
	                          Publisher: Zone Books 
							                          Publish Date: 10/17/1990 
							                          Dimensions: 8.90"" L, 6.00"" W, 0.90"" H	                    "
60,"
	                          ISBN-10: 0140442103
	                          ISBN-13: 9780140442106
	                          Publisher: Penguin Group 
							                          Publish Date: 07/30/1969 
							                          Dimensions: 7.77"" L, 5.07"" W, 0.64"" H	                    "
61,"
	                          ISBN-10: 0140442103
	                          ISBN-13: 9780140442106
	                          Publisher: Penguin Group 
							                          Publish Date: 07/30/1969 
							                          Dimensions: 7.77"" L, 5.07"" W, 0.64"" H	                    "
62,"
	                          ISBN-10: 0140442103
	                          ISBN-13: 9780140442106
	                          Publisher: Penguin Group 
							                          Publish Date: 07/30/1969 
							                          Dimensions: 7.77"" L, 5.07"" W, 0.64"" H	                    "
63,"
	                          ISBN-10: 0140442103
	                          ISBN-13: 9780140442106
	                          Publisher: Penguin Group 
							                          Publish Date: 07/30/1969 
							                          Dimensions: 7.77"" L, 5.07"" W, 0.64"" H	                    "
64,"
	                          ISBN-10: 0140442103
	                          ISBN-13: 9780140442106
	                          Publisher: Penguin Group 
							                          Publish Date: 07/30/1969 
							                          Dimensions: 7.77"" L, 5.07"" W, 0.64"" H	                    "
65,"
	                          ISBN-10: 0140442103
	                          ISBN-13: 9780140442106
	                          Publisher: Penguin Group 
							                          Publish Date: 07/30/1969 
							                          Dimensions: 7.77"" L, 5.07"" W, 0.64"" H	                    "
66,"
	                          ISBN-10: 0140442103
	                          ISBN-13: 9780140442106
	                          Publisher: Penguin Group 
							                          Publish Date: 07/30/1969 
							                          Dimensions: 7.77"" L, 5.07"" W, 0.64"" H	                    "
67,"
	                          ISBN-10: 0140442103
	                          ISBN-13: 9780140442106
	                          Publisher: Penguin Group 
							                          Publish Date: 07/30/1969 
							                          Dimensions: 7.77"" L, 5.07"" W, 0.64"" H	                    "
68,"
	                          ISBN-10: 0140442103
	                          ISBN-13: 9780140442106
	                          Publisher: Penguin Group 
							                          Publish Date: 07/30/1969 
							                          Dimensions: 7.77"" L, 5.07"" W, 0.64"" H	                    "
69,"
	                          ISBN-10: 0140442103
	                          ISBN-13: 9780140442106
	                          Publisher: Penguin Group 
							                          Publish Date: 07/30/1969 
							                          Dimensions: 7.77"" L, 5.07"" W, 0.64"" H	                    "
70,"
	                          ISBN-10: 0140442103
	                          ISBN-13: 9780140442106
	                          Publisher: Penguin Group 
							                          Publish Date: 07/30/1969 
							                          Dimensions: 7.77"" L, 5.07"" W, 0.64"" H	                    "
71,"
	                          ISBN-10: 0140442103
	                          ISBN-13: 9780140442106
	                          Publisher: Penguin Group 
							                          Publish Date: 07/30/1969 
							                          Dimensions: 7.77"" L, 5.07"" W, 0.64"" H	                    "
72,"
	                          ISBN-10: 0140442103
	                          ISBN-13: 9780140442106
	                          Publisher: Penguin Group 
							                          Publish Date: 07/30/1969 
							                          Dimensions: 7.77"" L, 5.07"" W, 0.64"" H	                    "
73,"
	                          ISBN-10: 0140442103
	                          ISBN-13: 9780140442106
	                          Publisher: Penguin Group 
							                          Publish Date: 07/30/1969 
							                          Dimensions: 7.77"" L, 5.07"" W, 0.64"" H	                    "
74,"
	                          ISBN-10: 0140442103
	                          ISBN-13: 9780140442106
	                          Publisher: Penguin Group 
							                          Publish Date: 07/30/1969 
							                          Dimensions: 7.77"" L, 5.07"" W, 0.64"" H	                    "
75,"
	                          ISBN-10: 0140442103
	                          ISBN-13: 9780140442106
	                          Publisher: Penguin Group 
							                          Publish Date: 07/30/1969 
							                          Dimensions: 7.77"" L, 5.07"" W, 0.64"" H	                    "
76,"
	                          ISBN-10: 0140442103
	                          ISBN-13: 9780140442106
	                          Publisher: Penguin Group 
							                          Publish Date: 07/30/1969 
							                          Dimensions: 7.77"" L, 5.07"" W, 0.64"" H	                    "
77,"
	                          ISBN-10: 0140442103
	                          ISBN-13: 9780140442106
	                          Publisher: Penguin Group 
							                          Publish Date: 07/30/1969 
							                          Dimensions: 7.77"" L, 5.07"" W, 0.64"" H	                    "
78,"
	                          ISBN-10: 0140442103
	                          ISBN-13: 9780140442106
	                          Publisher: Penguin Group 
							                          Publish Date: 07/30/1969 
							                          Dimensions: 7.77"" L, 5.07"" W, 0.64"" H	                    "
79,"
	                          ISBN-10: 0140442103
	                          ISBN-13: 9780140442106
	                          Publisher: Penguin Group 
							                          Publish Date: 07/30/1969 
							                          Dimensions: 7.77"" L, 5.07"" W, 0.64"" H	                    "
80,"
	                          ISBN-10: 0140441360
	                          ISBN-13: 9780140441369
	                          Publisher: Penguin Group 
							                          Publish Date: 05/30/1964 
							                          Dimensions: 7.76"" L, 5.18"" W, 0.72"" H	                    "
81,"
	                          ISBN-10: 0140441360
	                          ISBN-13: 9780140441369
	                          Publisher: Penguin Group 
							                          Publish Date: 05/30/1964 
							                          Dimensions: 7.76"" L, 5.18"" W, 0.72"" H	                    "
82,"
	                          ISBN-10: 0140441360
	                          ISBN-13: 9780140441369
	                          Publisher: Penguin Group 
							                          Publish Date: 05/30/1964 
							                          Dimensions: 7.76"" L, 5.18"" W, 0.72"" H	                    "
83,"
	                          ISBN-10: 0140441360
	                          ISBN-13: 9780140441369
	                          Publisher: Penguin Group 
							                          Publish Date: 05/30/1964 
							                          Dimensions: 7.76"" L, 5.18"" W, 0.72"" H	                    "
84,"
	                          ISBN-10: 0140441360
	                          ISBN-13: 9780140441369
	                          Publisher: Penguin Group 
							                          Publish Date: 05/30/1964 
							                          Dimensions: 7.76"" L, 5.18"" W, 0.72"" H	                    "
85,"
	                          ISBN-10: 0140441360
	                          ISBN-13: 9780140441369
	                          Publisher: Penguin Group 
							                          Publish Date: 05/30/1964 
							                          Dimensions: 7.76"" L, 5.18"" W, 0.72"" H	                    "
86,"
	                          ISBN-10: 0140441360
	                          ISBN-13: 9780140441369
	                          Publisher: Penguin Group 
							                          Publish Date: 05/30/1964 
							                          Dimensions: 7.76"" L, 5.18"" W, 0.72"" H	                    "
87,"
	                          ISBN-10: 0140441360
	                          ISBN-13: 9780140441369
	                          Publisher: Penguin Group 
							                          Publish Date: 05/30/1964 
							                          Dimensions: 7.76"" L, 5.18"" W, 0.72"" H	                    "
88,"
	                          ISBN-10: 0140441360
	                          ISBN-13: 9780140441369
	                          Publisher: Penguin Group 
							                          Publish Date: 05/30/1964 
							                          Dimensions: 7.76"" L, 5.18"" W, 0.72"" H	                    "
89,"
	                          ISBN-10: 0140441360
	                          ISBN-13: 9780140441369
	                          Publisher: Penguin Group 
							                          Publish Date: 05/30/1964 
							                          Dimensions: 7.76"" L, 5.18"" W, 0.72"" H	                    "
90,"
	                          ISBN-10: 0140441360
	                          ISBN-13: 9780140441369
	                          Publisher: Penguin Group 
							                          Publish Date: 05/30/1964 
							                          Dimensions: 7.76"" L, 5.18"" W, 0.72"" H	                    "
91,"
	                          ISBN-10: 0140441360
	                          ISBN-13: 9780140441369
	                          Publisher: Penguin Group 
							                          Publish Date: 05/30/1964 
							                          Dimensions: 7.76"" L, 5.18"" W, 0.72"" H	                    "
92,"
	                          ISBN-10: 0140441360
	                          ISBN-13: 9780140441369
	                          Publisher: Penguin Group 
							                          Publish Date: 05/30/1964 
							                          Dimensions: 7.76"" L, 5.18"" W, 0.72"" H	                    "
93,"
	                          ISBN-10: 0140441360
	                          ISBN-13: 9780140441369
	                          Publisher: Penguin Group 
							                          Publish Date: 05/30/1964 
							                          Dimensions: 7.76"" L, 5.18"" W, 0.72"" H	                    "
94,"
	                          ISBN-10: 0140441360
	                          ISBN-13: 9780140441369
	                          Publisher: Penguin Group 
							                          Publish Date: 05/30/1964 
							                          Dimensions: 7.76"" L, 5.18"" W, 0.72"" H	                    "
95,"
	                          ISBN-10: 0140441360
	                          ISBN-13: 9780140441369
	                          Publisher: Penguin Group 
							                          Publish Date: 05/30/1964 
							                          Dimensions: 7.76"" L, 5.18"" W, 0.72"" H	                    "
96,"
	                          ISBN-10: 0140441360
	                          ISBN-13: 9780140441369
	                          Publisher: Penguin Group 
							                          Publish Date: 05/30/1964 
							                          Dimensions: 7.76"" L, 5.18"" W, 0.72"" H	                    "
97,"
	                          ISBN-10: 0140441360
	                          ISBN-13: 9780140441369
	                          Publisher: Penguin Group 
							                          Publish Date: 05/30/1964 
							                          Dimensions: 7.76"" L, 5.18"" W, 0.72"" H	                    "
98,"
	                          ISBN-10: 0140441360
	                          ISBN-13: 9780140441369
	                          Publisher: Penguin Group 
							                          Publish Date: 05/30/1964 
							                          Dimensions: 7.76"" L, 5.18"" W, 0.72"" H	                    "
99,"
	                          ISBN-10: 0140441360
	                          ISBN-13: 9780140441369
	                          Publisher: Penguin Group 
							                          Publish Date: 05/30/1964 
							                          Dimensions: 7.76"" L, 5.18"" W, 0.72"" H	                    "
100,"
	                          ISBN-10: 0691150265
	                          ISBN-13: 9780691150260
	                          Publisher: Princeton University Press 
							                          Publish Date: 03/27/2011 
							                          Dimensions: 8.97"" L, 5.78"" W, 1.21"" H	                    "
101,"
	                          ISBN-10: 0691150265
	                          ISBN-13: 9780691150260
	                          Publisher: Princeton University Press 
							                          Publish Date: 03/27/2011 
							                          Dimensions: 8.97"" L, 5.78"" W, 1.21"" H	                    "
102,"
	                          ISBN-10: 0691150265
	                          ISBN-13: 9780691150260
	                          Publisher: Princeton University Press 
							                          Publish Date: 03/27/2011 
							                          Dimensions: 8.97"" L, 5.78"" W, 1.21"" H	                    "
103,"
	                          ISBN-10: 0691150265
	                          ISBN-13: 9780691150260
	                          Publisher: Princeton University Press 
							                          Publish Date: 03/27/2011 
							                          Dimensions: 8.97"" L, 5.78"" W, 1.21"" H	                    "
104,"
	                          ISBN-10: 0691150265
	                          ISBN-13: 9780691150260
	                          Publisher: Princeton University Press 
							                          Publish Date: 03/27/2011 
							                          Dimensions: 8.97"" L, 5.78"" W, 1.21"" H	                    "
105,"
	                          ISBN-10: 0691150265
	                          ISBN-13: 9780691150260
	                          Publisher: Princeton University Press 
							                          Publish Date: 03/27/2011 
							                          Dimensions: 8.97"" L, 5.78"" W, 1.21"" H	                    "
106,"
	                          ISBN-10: 0691150265
	                          ISBN-13: 9780691150260
	                          Publisher: Princeton University Press 
							                          Publish Date: 03/27/2011 
							                          Dimensions: 8.97"" L, 5.78"" W, 1.21"" H	                    "
107,"
	                          ISBN-10: 0691150265
	                          ISBN-13: 9780691150260
	                          Publisher: Princeton University Press 
							                          Publish Date: 03/27/2011 
							                          Dimensions: 8.97"" L, 5.78"" W, 1.21"" H	                    "
108,"
	                          ISBN-10: 0691150265
	                          ISBN-13: 9780691150260
	                          Publisher: Princeton University Press 
							                          Publish Date: 03/27/2011 
							                          Dimensions: 8.97"" L, 5.78"" W, 1.21"" H	                    "
109,"
	                          ISBN-10: 0691150265
	                          ISBN-13: 9780691150260
	                          Publisher: Princeton University Press 
							                          Publish Date: 03/27/2011 
							                          Dimensions: 8.97"" L, 5.78"" W, 1.21"" H	                    "
110,"
	                          ISBN-10: 0691150265
	                          ISBN-13: 9780691150260
	                          Publisher: Princeton University Press 
							                          Publish Date: 03/27/2011 
							                          Dimensions: 8.97"" L, 5.78"" W, 1.21"" H	                    "
111,"
	                          ISBN-10: 0691150265
	                          ISBN-13: 9780691150260
	                          Publisher: Princeton University Press 
							                          Publish Date: 03/27/2011 
							                          Dimensions: 8.97"" L, 5.78"" W, 1.21"" H	                    "
112,"
	                          ISBN-10: 0691150265
	                          ISBN-13: 9780691150260
	                          Publisher: Princeton University Press 
							                          Publish Date: 03/27/2011 
							                          Dimensions: 8.97"" L, 5.78"" W, 1.21"" H	                    "
113,"
	                          ISBN-10: 0691150265
	                          ISBN-13: 9780691150260
	                          Publisher: Princeton University Press 
							                          Publish Date: 03/27/2011 
							                          Dimensions: 8.97"" L, 5.78"" W, 1.21"" H	                    "
114,"
	                          ISBN-10: 0691150265
	                          ISBN-13: 9780691150260
	                          Publisher: Princeton University Press 
							                          Publish Date: 03/27/2011 
							                          Dimensions: 8.97"" L, 5.78"" W, 1.21"" H	                    "
115,"
	                          ISBN-10: 0691150265
	                          ISBN-13: 9780691150260
	                          Publisher: Princeton University Press 
							                          Publish Date: 03/27/2011 
							                          Dimensions: 8.97"" L, 5.78"" W, 1.21"" H	                    "
116,"
	                          ISBN-10: 0691150265
	                          ISBN-13: 9780691150260
	                          Publisher: Princeton University Press 
							                          Publish Date: 03/27/2011 
							                          Dimensions: 8.97"" L, 5.78"" W, 1.21"" H	                    "
117,"
	                          ISBN-10: 0691150265
	                          ISBN-13: 9780691150260
	                          Publisher: Princeton University Press 
							                          Publish Date: 03/27/2011 
							                          Dimensions: 8.97"" L, 5.78"" W, 1.21"" H	                    "
118,"
	                          ISBN-10: 0691150265
	                          ISBN-13: 9780691150260
	                          Publisher: Princeton University Press 
							                          Publish Date: 03/27/2011 
							                          Dimensions: 8.97"" L, 5.78"" W, 1.21"" H	                    "
119,"
	                          ISBN-10: 0691150265
	                          ISBN-13: 9780691150260
	                          Publisher: Princeton University Press 
							                          Publish Date: 03/27/2011 
							                          Dimensions: 8.97"" L, 5.78"" W, 1.21"" H	                    "
